Order;City;Cantidad
1001443232908-01;Quito;1
1001443553342-01;Quito;1
1001443591181-01;Quito;1
1001450083746-01;Macas;3
1001451709996-01;Quito;5
1001460019429-01;Guayaquil;1
1001460348831-01;Esmeraldas;3
1001462382761-01;Guayaquil;1
1001470181934-01;Guayaquil;2
1001470589149-01;Quito;1
1001471535739-01;Guayaquil;1
1001471768892-01;Quito;22
1001480940912-01;Guayaquil;1
1001483118891-01;Cuenca;1
1001490821129-01;Santa Cruz;1
1001491579303-01;Ambato;1
1001492077209-01;Mejia;1
1001531439970-01;Santa Elena;1
1001542373033-01;Guayaquil;3
1001561668092-01;Guaranda;1
1001570848017-01;Portoviejo;10
1001582414123-01;Guayaquil;1
1001590289470-01;Guayaquil;1
1001590624379-01;Quito;1
1001601534825-01;Quito;1
1001603461372-01;Daule;1
1001610526378-01;Quito;1
1001610799448-01;Atacames;1
1001611262520-01;Machala;1
1001611408874-01;Quito;15
1001612211790-01;Quevedo;1
1001612546793-01;Quevedo;1
1001613374658-01;Quito;1
1001620368073-01;Quito;3
1001621370459-01;Pedernales;1
1001621891569-01;Guayaquil;1
1001622033787-01;Quito;3
1001622526568-01;Quito;1
1001630750589-01;Riobamba;1
1001631773789-01;Latacunga;1
1001640099006-01;Quito;2
1001640268438-01;Daule;2
1001640951585-01;Machala;1
1001641569762-01;Playas;1
1001641631375-01;Las Naves;3
1001641772194-01;Guayaquil;8
1001650188693-01;Guayaquil;1
1001650199978-01;Quito;1
1001650294084-01;Cuenca;1
1001652300138-01;Guayaquil;1
1001661555247-01;Quito;1
1001662786008-01;Quevedo;1
1001663598787-01;Guayaquil;1
1001670071428-01;Guayaquil;5
1001670455212-01;Machala;1
1001670475410-01;Guayaquil;20
1001681098704-01;Samborondon;4
1001683341601-01;Portoviejo;1
1001700364426-01;Portoviejo;1
1001700897709-01;Santa Lucia;1
1001701048816-01;Guayaquil;1
1001701373646-01;Guayaquil;3
1001703596921-01;Tena;1
1001711679486-01;Quito;9
1001721350346-01;Guayaquil;5
1001721805889-01;Guayaquil;2
1001741912176-01;Esmeraldas;2
1001821076940-01;Babahoyo;2
1001823530002-01;Valencia;1
1001830796802-01;Ambato;2
1001831016220-01;Quito;1
1001841200051-01;Guayaquil;1
1001841295856-01;Quito;6
1001841409568-01;Machala;1
1001843087161-01;Duran;1
1001850554407-01;Guayaquil;4
1001861380235-01;Guayaquil;6
1001870831159-01;Guayaquil;1
1001881075416-01;Guayaquil;1
1001883170286-01;Guayaquil;6
1001890427215-01;Catamayo;1
1001890628929-01;Cumanda;1
1001891630626-01;Samborondon;1
1001891760380-01;Orellana;1
1001892391627-01;Guayaquil;4
1001902005767-01;Quito;1
1001902620280-01;Esmeraldas;2
1001902622966-01;Daule;1
1001902828576-01;Quito;10
1001911009724-01;Guayaquil;10
1001911485505-01;Duran;1
1001921481159-01;La Libertad;1
1001922844256-01;Puyo;1
1001933188323-01;Quito;1
1001952637726-01;Quito;1
1001953360424-01;Tulcan;1
1001953563533-01;Puyo;1
1001960977485-01;Quito;1
1001961003677-01;Pedro Vicente Maldonado;1
1002031988288-01;Ambato;2
1002070053746-01;Cotacachi;1
1002080130144-01;Quito;1
1002080626327-01;Ventanas;1
1002083061474-01;Quito;1
1002093195105-01;Guayaquil;1
1002102079969-01;Guayaquil;1
1002102433820-01;Guayaquil;1
1002103207260-01;Guayaquil;1
1002103297208-01;Samborondon;1
1002110716247-01;Santo Domingo;1
1002111428704-01;Guayaquil;1
1002111589322-01;Quininde;3
1002112503284-01;Daule;5
1002121418478-01;Bolivar;1
1002121990268-01;Santa Rosa;1
1002122187722-01;Tosagua;1
1002122412147-01;Guayaquil;17
1002122422182-01;Guayaquil;3
1002122894297-01;Daule;1
1002131449675-01;Guayaquil;1
1002131882708-01;Cuenca;1
1002141307898-01;Shushufindi;1
1002141355769-01;Guayaquil;2
1002142583358-01;Quito;1
1002142667821-01;Guayaquil;1
1002151160203-01;Quito;4
1002152959283-01;Buena Fe;1
1002160558890-01;Guayaquil;4
1002160733412-01;Daule;1
1002161840100-01;Quito;5
1002162638581-01;Quito;1
1002162833069-01;Daule;17
1002170147023-01;Guayaquil;1
1002170821581-01;Duran;1
1002171052270-01;Duran;1
1002171334957-01;Machala;3
1002171956405-01;Guayaquil;1
1002172172565-01;Daule;1
1002172461652-01;Cuenca;1
1002173078992-01;Guayaquil;1
1002181215354-01;Santa Rosa;2
1002190024994-01;Quito;1
1002190355821-01;Guayaquil;1
1002190550475-01;Guayaquil;2
1002192237045-01;La Libertad;1
1002193164677-01;Guayaquil;1
1002200122060-01;Quito;1
1002200304407-01;Quito;1
1002200445037-01;Manta;1
1002202559698-01;Milagro;1
1002212091606-01;Santa Elena;1
1002252047694-01;Guayaquil;1
1002271757458-01;Guayaquil;1
1002300414795-01;Daule;2
1002301003169-01;La Libertad;1
1002301166537-01;Chone;1
1002312039269-01;Tiwintza;1
1002321597720-01;Machala;24
1002330410182-01;Guayaquil;8
1002333274022-01;Santa Rosa;2
1002333520419-01;Guayaquil;1
1002340805663-01;El Empalme;3
1002340954572-01;Quito;1
1002342015348-01;Guayaquil;3
1002342711338-01;Guayaquil;1
1002350116465-01;Portoviejo;2
1002353182901-01;Guayaquil;3
1002360055580-01;Marcelino Mariduena;11
1002361383066-01;Duran;3
1002361441302-01;Cayambe;1
1002361933507-01;Guayaquil;1
1002362214135-01;Santo Domingo;2
1002363070142-01;Guayaquil;1
1002370483677-01;Guayaquil;5
1002370588740-01;Guayaquil;3
1002370898227-01;Manta;30
1002371621940-01;Pasaje;1
1002372171661-01;Guayaquil;2
1002382532108-01;Portoviejo;1
1002390125234-01;Guayaquil;4
1002390423877-01;Guayaquil;1
1002390867630-01;Chone;3
1002391896606-01;Guayaquil;1
1002391964653-01;Guayaquil;1
1002402064185-01;Puyo;1
